contactCounter,Cell Type,Cell ID,Block Number
2,12,1081,2
1,12,1082,2
1,12,1083,2
1,12,1084,2
1,12,1085,2
1,12,1086,2
1,12,1087,2
2,12,1088,2
2,12,1089,2
1,12,1090,2
1,12,1091,2
1,12,1092,2
1,12,1093,2
2,12,1094,2
3,12,1095,2
1,12,1096,2
1,12,1097,2
1,12,1098,2
1,12,1099,2
1,12,1100,2
1,12,1101,2
1,12,1102,2
1,12,1103,2
1,12,1104,2
1,12,1105,2
1,12,1106,2
1,12,1107,2
5,12,1108,2
3,12,1109,2
3,12,1110,2
1,12,1111,2
1,12,1112,2
14,12,1113,2
6,12,1114,2
16,12,1115,2
1,12,1116,2
1,12,1117,2
5,12,1118,2
1,12,1119,2
1,12,1120,2
3,12,1121,2
1,12,1122,2
2,12,1123,2
1,12,1124,2
1,12,1125,2
2,12,1126,2
1,12,1127,2
1,12,1128,2
4,12,1129,2
1,12,1130,2
4,12,1131,2
5,12,1132,2
1,12,1133,2
7,12,1134,2
2,12,1135,2
1,12,1136,2
2,12,1137,2
1,12,1138,2
2,12,1139,2
1,12,1140,2
2,12,1141,2
15,12,1142,2
2,12,1143,2
1,12,1144,2
2,12,1145,2
1,12,1146,2
3,12,1147,2
1,12,1148,2
1,12,1149,2
2,12,1150,2
1,12,1151,2
1,12,1152,2
1,12,1153,2
2,12,1154,2
1,12,1155,2
2,12,1156,2
1,12,1157,2
1,12,1158,2
1,12,1159,2
3,12,1160,2
5,12,1161,2
3,12,1162,2
27,12,1163,2
1,12,1164,2
2,12,1165,2
5,12,1166,2
1,12,1167,2
1,12,1168,2
1,12,1169,2
3,12,1170,2
2,12,1171,2
1,12,1172,2
1,12,1173,2
1,12,1174,2
6,12,1175,2
11,12,1176,2
1,12,1177,2
1,12,1178,2
1,12,1179,2
1,12,1180,2
1,12,1181,2
1,12,1182,2
1,12,1183,2
1,12,1184,2
1,12,1185,2
1,12,1186,2
1,12,1187,2
3,12,1188,2
2,12,1189,2
20,12,1190,2
1,12,1191,2
5,12,1192,2
9,12,1193,2
1,12,1194,2
12,12,1195,2
2,12,1196,2
3,12,1197,2
1,12,1198,2
1,12,1199,2
4,12,1200,2
4,12,1201,2
1,12,1202,2
1,12,1203,2
2,12,1204,2
2,12,1205,2
2,12,1206,2
1,12,1207,2
1,12,1208,2
2,12,1209,2
2,12,1210,2
2,12,1211,2
1,12,1212,2
16,12,1213,2
19,12,1214,2
14,12,1215,2
9,12,1216,2
10,12,1217,2
12,12,1218,2
4,12,1219,2
1,12,1220,2
1,12,1221,2
3,12,1222,2
11,12,1223,2
2,12,1224,2
4,12,1225,2
3,12,1226,2
3,12,1227,2
11,12,1228,2
1,12,1229,2
5,12,1230,2
1,12,1231,2
1,12,1232,2
1,12,1233,2
1,12,1234,2
1,12,1235,2
1,12,1236,2
3,12,1237,2
2,12,1238,2
1,12,1239,2
1,12,1240,2
2,12,1241,2
2,12,1242,2
1,12,1243,2
1,12,1244,2
1,12,1245,2
3,12,1246,2
7,12,1247,2
5,12,1248,2
3,12,1249,2
2,12,1250,2
1,12,1251,2
1,12,1252,2
3,12,1253,2
1,12,1254,2
1,12,1255,2
2,12,1256,2
1,12,1257,2
1,12,1258,2
1,12,1259,2
1,12,1260,2
1,12,1261,2
1,12,1262,2
1,12,1263,2
1,12,1264,2
1,12,1265,2
1,12,1266,2
1,12,1267,2
1,12,1268,2
1,12,1269,2
1,12,1270,2
1,12,1271,2
1,12,1272,2
1,12,1273,2
16,12,1274,2
1,12,1275,2
10,12,1276,2
28,12,1277,2
2,12,1278,2
7,12,1279,2
13,12,1280,2
1,12,1281,2
14,12,1282,2
1,12,1283,2
1,12,1284,2
1,12,1285,2
1,12,1286,2
1,12,1287,2
5,12,1288,2
1,12,1289,2
4,12,1290,2
4,12,1291,2
1,12,1292,2
1,12,1293,2
4,12,1294,2
2,12,1295,2
1,12,1296,2
2,12,1297,2
6,12,1298,2
3,12,1299,2
4,12,1300,2
1,12,1301,2
12,12,1302,2
6,12,1303,2
4,12,1304,2
8,12,1305,2
4,12,1306,2
9,12,1307,2
1,12,1308,2
2,12,1309,2
1,12,1310,2
6,12,1311,2
2,12,1312,2
1,12,1313,2
1,12,1314,2
12,12,1315,2
2,12,1316,2
10,12,1317,2
9,12,1318,2
1,12,1319,2
1,12,1320,2
1,12,1321,2
1,12,1322,2
1,12,1323,2
1,12,1324,2
2,12,1325,2
1,12,1326,2
1,12,1327,2
5,12,1328,2
1,12,1329,2
1,12,1330,2
1,12,1331,2
10,12,1332,2
1,12,1333,2
1,12,1334,2
1,12,1335,2
2,12,1336,2
1,12,1337,2
1,12,1338,2
1,12,1339,2
1,12,1340,2
2,12,1341,2
1,12,1342,2
2,12,1343,2
2,12,1344,2
1,12,1345,2
2,12,1346,2
3,12,1347,2
2,12,1348,2
1,12,1349,2
1,12,1350,2
1,12,1351,2
1,12,1352,2
1,12,1353,2
2,12,1354,2
1,12,1355,2
1,12,1356,2
1,12,1357,2
1,12,1358,2
1,12,1359,2
2,12,1360,2
1,12,1361,2
1,12,1362,2
3,12,1363,2
6,12,1364,2
4,12,1365,2
6,12,1366,2
2,12,1367,2
12,12,1368,2
4,12,1369,2
5,12,1370,2
14,12,1371,2
6,12,1372,2
2,12,1373,2
4,12,1374,2
1,12,1375,2
1,12,1376,2
1,12,1377,2
14,12,1378,2
5,12,1379,2
2,12,1380,2
1,12,1381,2
2,12,1382,2
2,12,1383,2
1,12,1384,2
2,12,1385,2
13,12,1386,2
4,12,1387,2
